"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO","Mm_WNT"
"MITF",4.1704436152246,7.78780410337989,8.12523038045937,0.42029695380655,7.16576925744103,7.48906209324557,7.41927424167731,8.29005631653854,3.76365406455712,7.28174942275929,7.3003333778458,7.84987296780244,8.50273394221598,7.84178873665963,2.54205082537063,3.05728320228961,3.54463827612429,6.49018500711085,7.43201469727856,7.77959137932142
"WNT5A",3.52460944654277,-3.32192809488736,-2.69192601563466,0.658665390655253,-3.32192809488736,-2.46025346307562,4.6600483056504,1.77187979336603,3.47792795551345,0.873184644119234,2.53321679823879,-0.886918884744522,0.754260821217923,-2.34424864301187,6.07482753075275,6.440316942784,5.0569552322911,2.96319963846925,-3.32192809488736,-3.27325181042221
"DKK1",7.42091739260161,-1.40495644423627,0.0434583328669034,-3.32192809488736,2.31373666864788,4.52961337893742,4.93298834290421,-3.32192809488736,8.51700868613054,1.8277102194144,0.344705792818275,-0.262907863556247,0.724215596675242,-3.32192809488736,7.21649082625319,5.69019998225203,-0.43088097618767,5.53154043165096,-3.32192809488736,-2.88947249033654
"DKK3",3.90961757012132,-3.32192809488736,-3.32192809488736,0.931461113697524,-0.780525145497713,-1.37776787421436,7.54246034143667,-0.479237612496014,6.5392961517063,6.45700334741722,1.00161907977492,5.0537700340263,1.01368908692743,-2.07740315562277,8.65099068225536,7.32346960502015,6.6815865446478,2.93922433930824,4.26463142307561,4.43286309703254
