symbol	FemxI.DMSO	FemxI.G007.LK	FemxV.DMSO	FemxV.G007.LK	MeWo.DMSO	MeWo.G007.LK	Skmel28.DMSO	Skmel28.G007.LK	WM115.DMSO	WM115.G007.LK	WM1341.DMSO	WM1341.G007.LK	WM1382.DMSO	WM1382.G007.LK	WM239.DMSO	WM239.G007.LK	WM35.DMSO	WM35.G007.LK	A375.DMSO	A375.G007.LK	WM1366.DMSO	WM1366.G007.LK	WM793.DMSO	WM793.G007.LK	WM852.DMSO	WM852.G007.LK
COG2	1324.374057	3188.313724	1855.288232	1982.228429	929.2264188	1222.008902	1800.107556	1654.108289	1403.042676	1669.35289	2536.265603	1052	2188.092584	2248.276174	2443.901458	2203.319199	2747.207472	2505.40202	1112	1590.230695	867.1656716	795	608.0064926	882.3244871	1333.038	1354.030965
COG3	935	2320.414798	1182	1194.77811	1899	2252.666771	1178.646937	1351.800612	1220.574744	1344	1933.207774	919.6539906	1863.471648	1731	1586.043414	1592.278655	2287	2138	969	1233	1131	944.4260415	676	895	1260	1483.518811
COG4	1773	3742.006659	3078.016284	3092.034191	3654.017054	4340.003738	2483.092994	2404	3001	3261	10165.06934	4557.577868	4247.081088	3886.037781	4753.194809	4282.004621	3447.481021	3044.883431	2250.093164	3456.043747	1842	1818.005764	1395	1725.00846	2857.037303	3172.053043
COG5	2685.926558	6348.483934	4577.12859	5079.829103	1735.658661	2129.777144	2752.594559	3195.629865	1864.028023	2101.571042	5836.871855	2974.967874	1137.479042	1169.283043	4153.971661	4140.072721	7367.292758	7250.802385	741.6879028	1002.028204	575.8948922	530.6168271	1069.386527	1388.603945	1562.374738	1713.312589
COG6	953	2203	1440	1570	1893	2622	1366	1462	1438	1692	2416	1183	1512	1499	1733	1730	2897	2708	662	857	568	569	338	489	743	800
COG7	833	1966.935347	1457.528789	1515.333907	717.4849364	909.067263	1219.547558	1240.377653	1000.348912	1160.363168	1261.807868	531.1356786	684.0439132	622.4679777	1186.443726	1067.955966	1935.571825	1668.185769	754.4995994	1098.65526	447.0477934	396.3266375	449.1320352	526.2715487	863.4712226	963.1960513
COG8	656.3154665	1667.374956	1147.267959	1232.786882	1120.987524	1312.597707	1173.092902	1027.561782	1134.441019	1233.122	2730.958009	1208.220408	974.843249	895.9594049	1574.292299	1548.571418	1361.652379	1157.754454	1207.516475	2020.093926	1143.714264	1106.584212	462.2822962	597.280957	1066.845127	1156.001945
COG8	283.149336	609.7696671	437.2328268	543.1753416	539.1698576	627.2764758	328.3967932	347.8302614	581.8721493	649.0273124	1112.147376	590.2813664	482.2272255	505.2484733	560.1977128	487.653272	357.1726792	367.6914531	484.6044381	668.8262953	429.3754799	369.465852	218.2183258	275.5739031	363.7258493	395.6372821
COIL	1065.977078	2316.992297	1643.974438	1806.974953	779	969.9932958	1277	1315.986089	987	1176	1846	905	1945	1978	2001	2042.995908	1744.998129	1643.983686	863	1230	855	764	440	618	1273	1346.969407
COL12A1	302	489	229	175	648	584	585	449	629	603	457	204	121	94	172	93	33	33	1542	1571	11049	8576	9924	11168	5629	6525
COL15A1	807	2418.180276	428	553	200	226	420	397.0050036	10458	11692	76	25	1020	872	468.0043425	418	48	41	15	36	65	67	1273	2895	232	208
COL16A1	43	61	30	19	535	383	323	253	475	408	3343	1239	1426	1198	609	335	1294	1290	538	716	179	192	572	838	306	328
COL18A1	907.7888126	1896.924202	1163.099979	1232.415806	3953.931125	4177.92081	642.0960122	612.9922752	7775.018555	9730.523092	1569.846976	802.2493689	2783.931305	2480.922627	1866.549269	1459.111763	3056.500572	2597.517397	560.205405	752.2578676	9.13303316	12.71852139	7123.896208	10159.48672	15886.71878	17279.78326
COL1A1	261	365.0239422	598	489.0000253	17	21	8	14	12.05868987	19.25617158	28.00006064	10	246	209	71.00036306	33	4	5	126	151	1671.000591	2146.946119	49	59	156	125
COL1A2	7	22.14890379	12.00106758	7	6.00566574	14.00166139	2	15.37577614	63954.07573	70363.23094	23.0263776	5	12.0194583	15.029112	18.00127427	13.00538411	59.02028929	47	19.48977189	19	2.00002667	1	224	387.000777	2.002706096	7.002560944
COL27A1	1364.070333	2949.763092	543.0449486	564.5066828	2151.238269	2070.014371	429.1231851	401.048684	5360.037002	5910.21886	964.2404222	381.0715349	1280.013859	1424.180674	202.6394503	195.2973972	236.0748289	227.4082533	1447.630269	1723.102602	2980.833688	2991.81027	1691.027352	2623.934435	719.4801437	832.6879977
COL4A2	2011	3467	104	75	13842	15537	460	410	42534	49181	28768	12675	18604	15132	6219	5234	5306	4560	14592	18445	1667	1404	10065	12153	15604	16976
COL4A3BP	2988.049727	6612.596946	3782.55185	4289.434966	1260.227082	1640.171939	3954.605053	5028.702319	8070.630799	9594.071878	16270.01244	6454.375944	11499.17465	11140.25001	4552.377374	4607.890046	5429.898173	5276.975425	1576.016951	2327.527728	1545.950554	1372.079631	1020	1851.094576	2150.41867	2289.306358
COL5A2	546	1025	661	624	2534	2651	203	193	5485	5790	207	109	29214	24128	1730	1108	96	94	13411	15543	87	58	237	157	20295	18945
COL6A1	2093	4086	3097	3110	1992	2336	392	328	9423	11952	2771	1215	5901	5639	5616	4933	2734	2528	3839	5245	867	1118	8994	12389	20651	20825
COL6A2	243	433	889	888	5	13	707	659	12210	15572	623	282	3166	3145	3447	2979	1185	1040	2493	3801	2924	2981	8402	10959	17224	17358
COL7A1	15	50	85	97	200	245	270	281	509	550	143	54	134	139	670	505	138	165	255	431	207	279	146	266	3607	4354
COL8A1	32.43741627	35.60455216	24.68653385	10.74558693	15.63905549	28.91460859	18.37710178	10.73249416	2456.695729	1916.224095	36.82193811	12.70297433	30.80036656	37.25196508	84.64053874	72.20255939	31.78802482	18.44369411	345.7688399	491.0854688	2506.708947	1548.701163	18258.47342	19577.32922	4464.0385	4670.547509
COL9A2	118	167	311	273	42	46	80	56	48	37	106	33	13	5	690	468	69	64	176	239	35	27	29	43	70	76
COLEC12	9.397016436	23.16327707	18.78878286	22.38238779	27.21160502	26.65561206	62.40840274	77.89004587	59.94205646	46.88570775	176.6423748	72.13580159	208.5644341	196.9969512	38.71689973	25.05846002	40.71896368	39.49581918	173.7205773	288.9029468	18.48629806	18.41469595	83.03956759	148.5489941	13654.23683	13839.09895
COLGALT1	4793.771707	10077.00267	7425.791168	7619.277543	7741.400451	8532.080275	21877.22088	19121.36065	9010.302024	9608.231002	28876.62274	12777.25644	8520.339412	8012.433797	9150.398799	7867.038139	17305.02429	13617.28064	5264.043921	7310.745651	2620.220551	2370.09419	8148.001024	10025.72497	10078.38484	9790.794675
COMMD1	329.960013	805.0086473	626.3863986	646.2224588	444.7233025	598.561266	2071.916436	1855.116199	599.238349	688.8041746	1103.937672	538.5308695	1329.100027	1371.784012	1168.507657	948.348718	1050.539008	899.3096976	341.2502638	596.8522796	534.3681782	530.9913725	403.3050674	521.2910242	459.1354316	416.2025743
COMMD10	797	1805	1206	1395	397	556	874	1004	592	733	1279	656	1588	1615	1180	1148	2042	1956	685	1001	605	670	440	644	1917	1877
COMMD2	898.4497816	2043.330987	1410.842201	1574.613289	962.7114478	1400.861636	2311.184027	2570.005234	474.1055545	551.447715	2306.275818	1064.01393	4355.062147	4241.920398	748.4263254	739.1711467	2724.446563	2792.497102	933.3152088	1257.327161	2720.967838	2774.796237	489.7326778	637.8602653	1190.298924	1214.190803
COMMD3	438.5181134	994.9212505	990.0861252	1117.981765	1007.949903	1353.563886	1568.151494	1288.311112	431.3634535	574.0296877	1486.54661	614.8387116	1069.101196	1188.893725	1515.866103	1426.895737	1277.751031	1098.515323	577.583213	925	688.6381827	743.1687048	367.0741288	527.7390293	341.7314657	376.1576245
COMMD4	3800.559879	7754.367714	4705.068523	4815.782843	3396.953281	3744.263121	7399.712543	6017.402018	2136.957179	2366.27508	7354.135383	3167.786677	4371.018912	4444.555786	3489.465106	3280.152561	5851.382901	4665.911232	2623.568288	3992.753019	2187.302235	2138.427581	1366.547741	1570.360415	3640.373276	3719.323499
COMMD5	621.4443141	1185.11633	1271.051948	1289.008238	779.1763069	965.3520678	924.7450569	736.4112239	912.3316904	1027.142483	1224.711758	577.0404766	1353.380694	1477.926554	836.6805682	749.6289546	1266.475778	1077.934482	822.7252977	1279.050641	914.0959283	750.3044532	462.7090083	658.5590259	929.4996831	961.4254116
COMMD6	943	2030	1025	1205	917	1066	1715	1368	812	946	2942	1333	1641	1696	1478	1348	930	861	757	1478	752	857	389	548	591	611
COMMD7	983	2218	2089	2261	2037	2517	2290	1993	1641	2148	2924	1480	2769	2771	1985	1825	1817	1819	833	1319	1007	974	1291	1557	1284	1270
COMMD8	434	998	630	742	542	784	841	791	455	452	1126	482	1004	987	1140	1016	967	1019	684	1099	619	596	338	455	608	596
COMMD9	848.1304794	1776.583117	1131.487907	1233.662529	1381.686558	1609.402114	3655.066995	3327.459797	1431.551262	1679.690847	4083.948442	1869.463658	2894.812935	2935.639103	2505.631097	2514.478486	2218.815346	1926.188861	818.8729098	1322.531231	793.3236831	776.9672699	564.7303363	803.5260626	1320.785583	1381.226443
COMT	1738	3542.41896	4242.296768	4193.955558	2520.194325	3103.021335	16569.26526	14888.75451	3194.185352	3756.004176	1110.253626	521.0003715	5101.303972	4851.174108	5326.260467	4604.910389	4413.336579	3378.830179	1587.040213	2386.563072	2935.794302	2513.035712	2080.760088	2419.02237	1766.149709	1823.870556
COMT	1738	3542.41896	4242.296768	4193.955558	2520.194325	3103.021335	16569.26526	14888.75451	3194.185352	3756.004176	1110.253626	521.0003715	5101.303972	4851.174108	5326.260467	4604.910389	4413.336579	3378.830179	1587.040213	2386.563072	2935.794302	2513.035712	2080.760088	2419.02237	1766.149709	1823.870556
COMTD1	381	802	381	441	387	389	293	254	92	118	616	297	182	224	365	320	1023	833	160	254	211	193	78	72	216	194
COP1	1212.249332	2680.856543	1572.266402	1780.005088	1321.045627	1477.013653	1999.516291	1898.126008	1171	1336.62307	3353.85121	1519.050853	2767.046004	2835.098686	2135.17366	2041.123512	1993.170647	1919.328036	1376.08824	2030.184882	972.0360193	879.2047936	917	1223.107105	1414.118674	1429.474077
COPA	8846.552229	20462.57324	12574.75249	12944.26266	11693.09792	15730.635	22029.40241	24881.36158	12952.45637	14020.34729	35663.67554	16584	27061.017	26842.00639	17761.38481	17203.80136	23106.07928	21767.32488	10290	13294.65789	7918.252676	7217.897075	7975.976757	11148.38046	13825.46978	14064.32049
COPB1	5016.762165	11402.8295	6707.054501	7206.425876	6902.960981	9244.112897	16984.32252	17283.0988	8744.048401	9585.638787	14069.46465	6493.968516	8608.265947	8532.015587	13907.15831	13585.35085	9407.522285	8619.368621	5063.14896	6822.24914	5211.475928	5019.292681	4101	5363.082238	7571.946441	7741.369747
COPB2	5220.016259	11814.41819	9182.323328	9447.178916	6106.072367	7625.224882	20683.8453	20237.50321	11344.87856	12420.51781	10970.278	5191.309548	14373.54668	14025.36706	14249.96433	13676.55825	20673.0623	18551.63989	7041.160329	9488.053745	12766.66552	12377.66975	5548.16404	7113.92157	11856.12484	11533.07072
COPE	2570.285891	5109.340545	3750.441871	3901.594526	3786.929912	4756.354027	9659.001653	7854.990602	4471.045705	4943.378077	5384.169445	2396.852744	5720.223405	5624.258589	5373.391327	4358.157291	6715.765798	4989.522073	4512.51464	6878.862686	3443.744058	3119.160865	2553.074869	3208.974305	3288.432222	3284.164603
COPG1	5414	11599	9388	9179	6181	7709	23748	22233	12222	13283	14372	7027	11740	11823	12907	11940	30118	27025	4910	7006	5423	5156	4476	5699	8405	8414
COPG2	3141	6971	3942	4151	904	1208	2514	2549	1684	2005	3798	1749	1076	1114	3814	3761	3762	3637	1834	2627	665	611	1214	1650	1716	1700
COPRS	1430	3217	2617	2852	1839	2164	3612	3049	1723	2093	3403	1586	2001	1998	3895	3735	3017	2763	1254	2100	801	764	710	841	1882	1894
COPS2	3488.391614	7844.328002	4932.030419	5533.283707	3736.188852	4725.040938	4344.225843	4874.81443	3580.410736	4374.580745	6771.132647	3158.701805	2622.410227	2655.253881	3277.489543	3586.260428	5546.556407	5589.307008	4164.246954	5947.287477	3617.23005	3322.127296	1481.997968	2120.639819	6749.725009	7023.285792
COPS3	2551	5712	3841	4166	1948.987221	2725	4276.218113	3853.04895	2683.277692	2837	5005	2439	4955	5008	5071.990998	5119	3996.833389	3839	3403	5360.890273	3759	3354.995399	1286	1677	2714.984864	2777
COPS4	750.3018114	1661.085912	1406.073054	1531.017305	882.145654	1166.365649	1579.780321	1659.303818	1111.893359	1165.025822	1873.378105	896	1457.326902	1383.750795	2155.68452	2113.099744	1520.254771	1356.478309	1103.271574	1709.103799	1505	1399.131326	595.0014246	715.6765639	732.3389833	705.2164829
COPS5	986.9592412	2172.197043	1892.276128	2099.670417	1811.434357	2307.149747	3137.251954	2738.918289	2055.596773	2385.333512	3400.929073	1556.232185	2472.810854	2495.305982	2454.017353	2442.304542	3875.994095	3561.693821	3091.704599	4781.169751	2178.874296	2085.951233	1818.30864	2550.885894	2835.430758	2875.837774
COPS6	4657.276872	10037.27826	6938.214998	7284.219705	4089.430098	5007.337707	7075.37786	5857.355415	5140.213601	5498.004272	9557.309116	4586.021187	5266.157231	5022	8476.542996	7396.478731	10824.29807	9045.122685	4286.949564	6765.04589	2501.096366	2188.380942	4579.279501	5047.493006	7280.1926	7107.401703
COPS7A	2010	3910	3126.402486	3371	1946	2244.626941	3098	2854	3903.043737	4396	6176.04216	2785.014563	3416.070643	3286	6223.029534	5374	5093.00736	4331.160222	3031	4310.012151	2129.005799	1957.061205	1604.00652	1863	2265	2366
COPS7B	1290.619951	2707.090883	2582.554625	2480.525112	1378.898614	1553.650687	2936.587991	2341.237635	1018.337951	1035.894881	2759.117082	1126.657674	1683.902008	1561.09607	3197.613433	2845.12947	2211.135099	1863.600185	1434.975827	2031.860012	1629.419006	1506.607751	666.8691584	820.9755189	1890.569761	1953.342303
COPS8	3860	8613	7784.955975	8639	4039	5007	10190	9859	5263	6309	8138.948751	3883.939297	1859	1829	7452	7797	7772.902141	7340	1879	2882	1963	1799	1728	2500	3540	3618
COPS9	463	1022	812	948	684	893	2361	1691	666	770	1265	629	711	711	564	511	1236	1025	665	1009	555	563	452	621	658	643
COPZ1	4778	10348	8177	8875	6004	7341	6876	6096	6938	7672	9741	4422	7666	7562	11025	10287	10931	9921	5204	8206	5488	4824	1952	2455	7021	6834
COPZ2	15	31	82	75	52	68	666	513	1368	1642	280	119	979	984	628	545	1393	1192	222	368	135	93	610	643	320	261
COQ10A	223.2733791	467.6277982	375.4608394	427.6796534	358.7539919	489.483484	419.3801717	384.0960834	152.7744713	194.2811118	885.8970426	394.9117235	735.0380518	738.2630409	165.8498677	180.921541	258.6670307	219.5789102	628.3936892	908.7868944	377.5430509	371.0826678	124.8097298	244.3381526	191.2234342	197.9350388
COQ10B	835.7700699	2107.472101	1423.059857	1781.968847	1066.316921	1403.361679	2801.76736	2952.953517	2211.102419	2502.184263	2752.122352	1310.3065	1954.505214	1830.892716	2853.957366	2870.592553	3298.08022	3222.098672	524.1362328	888.4458248	840.933221	741.2300661	929.5928789	1323.351969	2251.166239	2183.885693
COQ2	448	961	746	778	379	456	1126	965	409	429	870	397	745	691	1097	1062	1656	1322	466	738	916	729	325	436	361	376
COQ3	670	1430.030082	1164.386913	1312.010798	454.022787	522.042581	723.1780492	593.0414309	399.0237345	432.0410057	809.0713947	425.0061002	606.03705	557.3103498	681.4627835	700.6818359	1076.134124	942.0052463	417.5457678	665.0456919	514.2448079	504.0189112	123	179.0095778	355.0468218	345.1168458
COQ4	1089.866904	2140.090022	1213.880843	1247.346311	1082.620463	1284.31369	1915.761715	1533.054501	1031.403455	1121.725337	2141.39226	983.615953	1388.593032	1365.836239	1150.613142	1007.694768	1110.452584	882.2043523	1312.066012	2063.159177	902.1274539	892.8667631	456.4728099	571.0380236	910.0467797	998.6909099
COQ5	1574.014641	3376.671615	1902.961708	2127.105821	856.0456015	1192.12059	1434.275048	1258.414865	1223.481638	1310.695288	3867.809819	1782.032505	2719.100581	2738.41127	1706.715635	1571.529592	1707.055759	1555.564292	1030.783683	1714.10732	1284.045347	1304.415646	463.0265991	554.0794923	1172.282428	1252.946196
COQ6	535.6030007	1202.2053	761.7612168	806.3715511	707.1931631	828.7052598	957.248068	832.7780895	891.3099241	1007.964272	1320.137825	575.5088537	1031.069211	1131.861828	981.750459	914.6078457	960.5409067	871.8269948	377.6298066	615.7796412	593.3029262	634.5089068	322.6170044	424.5976225	649.5662918	653.0141899
COQ7	390.2351522	950.7409383	607.4728934	694.1068804	465.34277	687.638047	1043.074886	1004.345824	752.8374894	941.2863888	933.2201408	467.2039508	643.8997959	623.9757547	1018.738861	1052.008447	1109.228982	1018.59769	589.2617192	853.0781418	381.3290324	401.6544936	341.0229849	485.1416031	845.5605359	857.7591005
COQ8A	1519.793785	3218.731999	2195.808557	2221.96299	2103.930465	2400.564044	1563.809512	1474.584824	3195.335715	3990.904655	1614.826177	737.1340672	2505.853442	2414.541947	2113.357389	1700.829042	4263.000406	3455.328011	1291.057171	1966.115498	635.7528111	516.2247256	511.312825	1028.167754	1393.594267	1519.336587
COQ8B	803.0126459	1782.015167	1186.092039	1366.003134	1529.483301	1767.024897	2366.455607	2170.424138	872.4037955	1151.030693	1466.593084	721.9889974	458.0114291	513.4702001	1498.122583	1295.694581	1668.36282	1520.882453	930.0209982	1251.006854	475.6560529	476.8349331	285	378.0138582	568.0181948	602.0243537
COQ9	1176	2738	1791	1902	2411	3115	1766	1695	1839	2218	3374	1625	2177	2045	3085	2730	3966	3481	1556	2380	1567	1475	767	996	1405	1378
CORO1A	49	80	68	81	38	59	100	91	82	70	151	76	383	362	146	139	47	28	573	917	157	113	165	173	137	100
CORO1B	3049.965506	6147	3048.007716	3366.149976	5901.790901	7097.668459	3394	3114.126869	4365.994678	5215.640588	7443	3518	7681.267615	7854.686469	6608.438526	5473.69388	4370.602942	3541.746012	2819.596842	4223.469563	3455.431713	3267	2165.645726	2456.038024	2835.250447	3109.997513
CORO1B	3049.965506	6147	3048.007716	3366.149976	5901.790901	7097.668459	3394	3114.126869	4365.994678	5215.640588	7443	3518	7681.267615	7854.686469	6608.438526	5473.69388	4370.602942	3541.746012	2819.596842	4223.469563	3455.431713	3267	2165.645726	2456.038024	2835.250447	3109.997513
CORO1C	10658	26266	19448	21139	10155	14492	26224	27168	8406	9579	48450	25184	11052	11693	23067	23746	23277	21938	5363	7243	17246	13217	3379	3358	6531	6632
CORO2A	71.77139195	137.1983777	133.8574663	149.4604535	183.878331	180.4410159	233.4702311	250.9930212	302.7569357	316.8097968	222.4235739	127.8446501	1038.386284	836.1386615	306.5658278	266.2970104	84.41697622	74.87875162	766.0666545	926.5086615	263.545237	217.7286959	382.1215454	415.3002952	594.4423028	637.7272888
CORO2B	2010	4954	3182	3101	3	1	179	230	563	664	793	482	1133	1163	121	125	281	260	486	710	170	155	309	418	51	48
CORO6	11	17	6	2	4	3	23	16	7	11	107	36	2	14	7	2	11	21	7	29	106	106	20	38	72	92
CORO7	472.4536015	1021.295854	596.5734746	668.9922476	758.7743001	786.3190851	682.9924459	650.6274471	323.3739323	398.9740567	1144.927897	525.9013656	1101.708231	1198.689082	957.9778788	882.7160125	513.7994971	374.1656276	388.3160517	568.4315098	389.1463902	328.7412763	287.038213	376.7174521	290.1899279	275.2926693
CORO7	472.4536015	1021.295854	596.5734746	668.9922476	758.7743001	786.3190851	682.9924459	650.6274471	323.3739323	398.9740567	1144.927897	525.9013656	1101.708231	1198.689082	957.9778788	882.7160125	513.7994971	374.1656276	388.3160517	568.4315098	389.1463902	328.7412763	287.038213	376.7174521	290.1899279	275.2926693
COTL1	8757.234927	19945.86775	10626.69413	11602.58993	8187.487335	9110.47396	15690.52104	11987.8412	11869.68064	12730.85286	9111.312692	4233.629217	16601.25329	13416.25316	21631.8357	17603.82124	15339.45719	12418.62639	14042.85967	20604.48253	9047.121708	7316.575098	15423.66247	19990.84391	5756.10083	4790.004094
COX10	698	1546.418581	1035	1121	857	1082	1023.392697	930	827.1223774	966.2200415	1730	841	1111	1103.986777	1202.278455	1268.368719	1213.987523	1166	832.0690565	1207.155842	679.2313164	642.1027309	221.8014373	330.4203931	599.4168418	575.8792327
COX11	1288.45511	2594.601571	1901.536324	2059.046042	1677.694265	2085.619836	2032.080488	2166.27009	1629.228565	1882.33788	3235.765899	1614.285354	2919.813353	2889.584604	2786.743098	2857.450676	4023.12477	3750.952441	1276.166553	1975.591719	1739.173802	1696.955451	764.333309	1168.282826	1869.819313	1836.450671
COX14	505	1038	846	960	772	1016	978	801	378	391	1133.913388	534.8942097	863.4105133	926.6149106	499	422	1536	1459	605	996	529	484	149	196	562	494
COX15	1583.249957	3347.734616	1935.436885	2019.96742	1550.433534	2002.583675	2325.721318	2274.273069	792.3305923	933.4285438	3277.360837	1560.172297	2204.05159	2153.597219	2514.555421	2452.21356	1722.16055	1608.320912	1965.702982	2717.927273	2322.326429	2156.090885	741.4361708	1045.481645	1923.528283	2051.86397
COX16	674.3244652	1249.353082	867.2407367	985.6105446	583.4950843	685.3343516	1207.559349	929.9717266	821.3988994	1041.060947	1070.045405	480.9819124	1064.175683	1149.252097	1307.426436	1306.728525	881.4804681	895.5777449	647.999108	999.3879793	614.0507775	644.4626665	352.4374815	512.5491444	677.5347643	646.9236038
COX17	843	1941	1539.998432	1923	1274.85739	1547	3495.422695	3072	1250	1344.281962	1795.933335	795	1562.600466	1524	2038.217009	2063	4053.167037	3565.65744	1126	1984	480	497.2405485	430	598	1124.799297	1057
COX18	356.8707156	762.7336294	628.7932548	728.4396938	423.4990144	571.5369951	576.3610488	572.0914782	456.4574643	577.0442387	946.2018722	459.9699067	383.644518	419.1995153	968.1762865	842.2769254	871.9184226	880.4783031	430.3127902	666.9444992	378.3645777	332.2242356	296.6099687	362.8018454	372.1235338	382.1080995
COX19	400.9326159	799.346322	580.1800081	632.8933234	629.1384297	661.8478458	746.8656369	590.224626	493.348544	531	1077.488125	420.6385715	742.1543171	669.2978735	713.3763483	552.6126202	1500.011232	1489.7364	326	489.6244929	655.0173261	522	531	590	427.8814622	461.9820055
COX20	735.5180967	1593.441159	1269.630264	1431.281656	1605.362845	2291.178422	2346.837497	2199.915484	1863.572456	2091.205791	1956.109307	925.7363487	3482.381321	3368.731923	3811.408586	3558.319701	1845.070191	1890.422277	1344.107173	2195.404628	1159.952707	1166.615729	508.2750921	629.7110483	1531.004259	1548.241438
COX20	735.5180967	1593.441159	1269.630264	1431.281656	1605.362845	2291.178422	2346.837497	2199.915484	1863.572456	2091.205791	1956.109307	925.7363487	3482.381321	3368.731923	3811.408586	3558.319701	1845.070191	1890.422277	1344.107173	2195.404628	1159.952707	1166.615729	508.2750921	629.7110483	1531.004259	1548.241438
COX4I1	10468.6556	23930.84533	10330.51077	11959.81207	12306.96243	16543.01756	10205.3799	8055.393571	6812.53173	7736.563315	8233.06498	4079.203629	17113.13836	17531.75931	12245.02504	11351.62376	15019.81466	12946.95773	8150.120286	13807.83365	6671.461457	6606.478662	3763.135103	4937.493438	8565.564468	8859.988157
COX5A	5444.997678	12546	6850	7429	5702	7303.998904	7545	6317	2919	3300	9743	4889	7260	8076	4796	4872	17946.9999	15627	3756	6371	2725	2501	1344	1885	4914	4937
COX5B	2981.895515	6569.975743	4637.038658	5000.000937	3731.401857	5022.013083	11915.04094	9806.897884	3701.546506	4433.907152	8445.544435	4086.413227	6603.724128	7415.081989	7144.570673	6911.032192	9547.136707	8532.942896	2075.438875	3524.704728	2505.028301	2503.927451	2066.034199	3035.91333	4080.905005	4325.002886
COX6A1	6038.290782	12993.22858	8379.745364	8952.742165	4738.003199	7366.768253	8595.84023	6928.939438	3869.161375	4586.756199	14447.96833	6974.571054	18622.05898	20520.11884	7374.235982	7285.602503	7694.357779	6710.868244	4665.090989	7563.768961	4588.96366	4749.481825	1737.963821	2316.922624	3289.393339	3270.531852
COX6B1	4104	9133	7077	7935	7114	10413	12963	9958	4157	5049	7631	3604	5052	5308	6649	6385	11111	9918	4587	8125	3611	3661	2043	2602	3230	3396
COX6C	1924.005705	4393.0462	3534.008499	4484.072686	5028.39058	5903.505675	5204.202087	4170.083412	2396.262661	2769.109714	7988.699519	3778.131867	8402.251419	8071.575632	3476.952267	3335.38792	11521.47187	10161.13521	2004.994621	3499.36459	2306.421157	2226.006828	1848	2570.338493	3717.120812	3564.635704
COX7A2	3183.999241	6998.634049	4635.713516	5494.745643	4694.403447	6463.976334	9195.625582	7371.717326	3133.148742	3668.105146	7214.26516	3235.720549	6512.169942	7387.396784	5140.735873	5278.321272	8780.992848	7739.055303	2571	4486.457096	2863.495864	3202.975485	1904.661333	2879.938961	5108.125655	5267.916741
COX7A2L	2433	5616	3962.048594	4447	2888	3981.22427	6130.009187	5511	1649	1880	5461.024339	2708	4714.16305	5115.055807	4754.363746	4653.156502	8965	8668	2065.008387	3364.272835	3016	2845	1066	1422	2525	2484.011001
COX7B	3924.700517	9122.72716	5653.787272	6722.778361	3222.358809	5374.299208	6117.450047	5087.41056	2257.057975	2934.158633	6663.076677	3220.06296	7992.753101	8839.514042	4495.470421	4729.567978	5656.50482	4791.27687	2729.459348	4500.859958	1769.707723	1978.677118	1058.04612	1438.634521	2442.193027	2371.199665
COX7C	4395	9998	5834	7046	5726	7848	11396	9256	2815	3353	10863	5264	11290	12095	8189	8186	19109	17493	5110	8792	8341	8369	2113	3004	8964	9380
COX8A	3892	8332	4832	5184	7266	9002	5260	4279	3633	4756	8301	3872	30347.99988	32046	8795	8188	7624	6518	4950	8324	4145	3925	2437	2949	3673	3776
CPD	2563.201613	5805.186508	4446.49331	4905.791549	98.74016818	138.2786367	5951.905941	6932.189259	5513.316782	6808.15051	6088.044257	2913.628307	3042.429425	3034.65071	7291.372388	7620.914942	5157.228446	5409.645149	3608.850047	4093.831095	2297.576292	2290.798839	2742.358255	4318.897657	16014.09044	16617.74136
CPEB1	1412.000666	3184.810399	2314.365368	2500.866358	1683.617308	2059.805734	1816.708771	1923.546109	1020.689187	1069.911257	261.3984108	132.8633687	1266.349084	1337.811224	2171.980776	1968.250798	2004.450067	1848.362711	101.872931	124.6884597	311.9304279	284.0106847	178.1222483	240.0893618	13.36815928	15.19183875
CPEB1	59.99933378	88.45081865	52.22842869	61.25045229	53.38269224	38.0965578	60.70072025	30.0133879	17.31081315	27.54166585	4.601589205	9.136631289	6.047659296	14.94688939	45.51110727	47.59216227	49.73455542	51.52163723	8.127069007	2.311540317	13.06957215	9.989315347	0.877751702	3.910638203	15.63184072	17.80816125
CPEB2	250	571	918	1052	539	832.5	1284	2000	379.5	514	1006	534	854.5	933.5	981.5	1113.5	497	571.5	55	61	200	213	155.5	274	197.5	228.5
CPEB2	250	571	918	1052	539	832.5	1284	2000	379.5	514	1006	534	854.5	933.5	981.5	1113.5	497	571.5	55	61	200	213	155.5	274	197.5	228.5
CPEB3	43.10932024	106.0631619	88.08999163	88.14476993	99.11145823	184.3756109	71.0731954	91.11014955	19.04980699	31.0996237	236.2540296	93.02841888	170.0688646	147.0377889	132.2778525	133.0709975	170.8491339	170.333799	38.06397881	41	59.449625	67.01376001	15.68681837	28	51.01700061	47.55420735
CPEB4	1032	2634	1668	1923	1148	1724	1700	2255	1456	1792	5106	2385	4719	4794	2738	2964	4887	5434	695	863	553	495	1133	1510	3945	4107
CPM	616.7488258	1369.012094	683.7649921	642.2149225	148.3804747	206.4167977	1552.978678	1633.089762	1304.193398	1651.807032	3801.228718	1709.255578	3554.491755	4307.742603	362.6386754	369.8943091	935.7100259	887.1540678	56.50638971	110.4985823	64.94040999	42.104821	1209.418362	1538.798611	25.02838294	30.73912072
