symbol	FemxI.DMSO	FemxI.G007.LK	FemxV.DMSO	FemxV.G007.LK	MeWo.DMSO	MeWo.G007.LK	Skmel28.DMSO	Skmel28.G007.LK	WM115.DMSO	WM115.G007.LK	WM1341.DMSO	WM1341.G007.LK	WM1382.DMSO	WM1382.G007.LK	WM239.DMSO	WM239.G007.LK	WM35.DMSO	WM35.G007.LK	A375.DMSO	A375.G007.LK	WM1366.DMSO	WM1366.G007.LK	WM793.DMSO	WM793.G007.LK	WM852.DMSO	WM852.G007.LK
ABCB10	1482	3060	1919	2005.957635	1379.945535	1594	949	1151	1219	1535	2631	1269	1667.946944	1699	3008	3272	1473	1325	1614.857156	2028.854648	661	629.962974	398	515	683	747
ABCB6	1036.507026	2226.03622	1721.304188	1872.789607	1224.013569	1415.168315	5648.532703	5394.655506	2135.172214	2559.108667	4986.585649	2599.237701	3372.975398	3597.07722	5696.296046	5370.280374	4354.719258	3649.131295	1226.3944	1864.884849	227.7799598	272.1476773	1509.406952	2019.216892	2047.09235	2220.177921
ABCB7	936	2272	1319	1421	1302	1681	973	991	524	608	1266	623	1013	934	1331	1282	1455	1411	799	1164	824	786	265	366	862	920
ABCB8	1361.167653	2835.213434	2474.499228	2535.200079	1805.046993	1923.057309	3157.731376	2819.143482	1904.352313	2179.205441	3838.071225	1698.242445	1129.046765	1136.437426	3566.508323	2960.110915	5860.207948	4499.587005	819.0392573	1264.259356	855.0974525	867.1147395	1537.088813	1977.158284	1226.259885	1316.330447
ABCB9	655.5020964	1329.427338	917.149036	901.7455879	322.2344432	377.2040781	902.4287316	848.2911747	726.6949888	797.9702649	1877.889644	802.6061713	1198.73726	1078.65774	1972.159863	1617.409593	930.1994691	707.9238299	796.0863928	1185.885986	544.4953142	551.4153165	529.3283243	609.5012725	370.0926459	366.6867294
ABCC1	563.4040423	1310.968791	1272.353357	1712.320125	541.7480224	767.7169678	1244.661208	1050.89006	938.079791	1465.69065	1122.066481	530.7103784	820.5436054	865.6921321	2902.29545	3092.686422	3731.222116	3330.951429	632.6025664	670.5062729	1064.557297	879.5569582	541.9491761	751.9844164	4621.32204	5519.280342
ABCC1	2248.744001	4986.136821	2902.712242	2612.704999	1413.251978	1895.37879	1725.973516	2055.061393	306.920209	329.3093496	1536.132586	711.7375976	531.5588171	429.3719457	882.5874484	744.2276556	1785.777884	1515.502854	1300.397434	1729.493832	204.4427031	257.5780138	379.0508239	600.1175231	6469.375643	5821.921838
ABCC10	625.4654109	1423.510355	1070.962265	1095.801754	1115.715515	1259.873068	1650.868131	1573.45283	637.4204149	805.5422089	1514.903475	653.0204803	1862.927094	1841.887637	1241.635979	930.5508735	676.9820771	553.7885986	509.6246268	610.440249	845.0001909	741.607191	521.7558255	712.2183561	945.0063145	996.7033225
ABCC2	2110	4863.030785	2842	2656.068716	167.0049773	232.081711	2349	2636.008377	2494.130792	2989.285903	6024.021872	2845	838.0129823	937.0250142	8015.197476	7634.12468	4619.02319	4525.102035	1390	1898.010854	43.02643827	57	828.0471615	1152.031155	128	134.2638066
ABCC4	1643	3872.085788	2134.859168	2320.023172	2155.713842	2794.140957	2662.675393	3206.296258	957.4974735	1200.115387	3251.076483	1484.877971	1876.202936	2016.473683	2091.508474	2144.02378	6052.757949	5550.688348	1322.651919	1680.029974	1255.651471	1147.911193	345	517	7099.780433	8094.184057
ABCC5	1955	4349.079706	2920	2923	1223.045968	1456.028495	5080.006669	5423	3583	3882	2701.092812	1208.084843	4494	4905.351286	6018.178807	5787.364921	3704	3562.631961	863	1122	840	837	1084	1507	1858.031289	2059.036759
ABCD1	2384.961264	5164.966182	3249	3318.972347	3046	3717.969927	9330	9109	1640	1986	8892	4317	1655	1694	4686	4030.952253	817.9720329	759	667	877	122	114	508	690	794	825
ABCD3	2045.56921	4363.449334	2654.039723	3012.00273	1738.261751	2249.107688	2720.027816	2951.427269	972.0214379	1120.036481	4199.099751	2008	2520.106235	2389.235729	2532.014936	2620.053511	2270.094184	2101	1272.410974	1681.406837	1278.296228	1325	1192.323974	1544	3240	3150.993558
ABCD4	932.3794148	1751.242138	1151.511592	1053.842342	1005.909284	1077.074918	1160.234135	992.325333	1140.42659	1354.723234	2230.071832	938.9035636	1222.804959	1274.038242	1084.672875	887.3541058	1025.681676	959.6980055	705.4894893	1088.198473	1088.272325	993.7159507	473.8677802	647.5801842	923.6774324	1025.475566
ABCE1	3733.948449	8151.94872	6595.601304	7535.975939	4503.916289	5962.00447	5281.89761	5871.904655	4541.619472	4942.144831	8969.49437	4190.967495	8278.169433	7995.881185	7365.744393	7805.317044	8625.247862	8315.864813	5692.592855	7265.956571	6362.033668	5684.596755	2691.943118	3273.019246	5260.949474	5199.960236
ABCF1	919.8125582	1974.360693	1532.375233	1517.599035	948.8871944	1161.149202	41.49596742	53.53251545	30.44527858	27.73328894	2269.005333	1029.534246	73.26427577	66.34959248	104.7337289	84.49475589	3102.023984	2614.821121	484.4691389	635.6091555	997.1143744	840.6203741	570.8345977	750.1191937	74.25386324	65.79161884
ABCF1	34.65332289	83.09545867	53.47017212	59.5053614	24.70100228	40.81577867	2097.58752	2073.236671	1271.337811	1430.788375	104.1225967	47.18475624	2979.294889	2740.144419	2709.137907	2581.511262	110.7342874	133.7070816	572.2344905	935.7615594	38.29170754	29.70487002	10.58011335	20.97176193	2262.703909	2612.739559
ABCF1	34.65332289	83.09545867	53.47017212	59.5053614	24.70100228	40.81577867	2097.58752	2073.236671	1271.337811	1430.788375	104.1225967	47.18475624	2979.294889	2740.144419	2709.137907	2581.511262	110.7342874	133.7070816	572.2344905	935.7615594	38.29170754	29.70487002	10.58011335	20.97176193	2262.703909	2612.739559
ABCF1	919.8125582	1974.360693	1532.375233	1517.599035	948.8871944	1161.149202	41.49596742	53.53251545	30.44527858	27.73328894	2269.005333	1029.534246	73.26427577	66.34959248	104.7337289	84.49475589	3102.023984	2614.821121	484.4691389	635.6091555	997.1143744	840.6203741	570.8345977	750.1191937	74.25386324	65.79161884
