"","Hs_A375","Hs_FemxI","Hs_FemxV","Hs_LOX","Hs_MeWo","Hs_Skmel28","Hs_WM115","Hs_WM1341","Hs_WM1366","Hs_WM1382","Hs_WM239","Hs_WM266","Hs_WM35","Hs_WM45.1","Hs_WM793","Hs_WM852","Hs_WM9","Hs_WM983","Mm_G007LK_vs_DMSO","Mm_WNT_G007LK_vs_WNT"
"TCF7",-0.232289475643762,0.367561173070139,0.0378874898372647,0.323349701538591,-0.505984671389686,0.19799859450565,-0.112793508105239,-0.0296882028100064,-0.289932241353042,0.288755372424388,-0.75471532128793,-0.431181415382882,0.010743451411716,-0.3624522061419,-0.0436486418893388,0.0284948927417632,-0.156157529335507,-0.0712640563585955,-0.00337047235001256,-1.07571858833766
"AMOTL2",-0.275718394880714,-0.801127307596637,-0.586777721839793,-0.101970389940005,-0.959191806151583,-0.829867519928975,-0.863983081786557,-0.974938893158018,-0.450489806306002,-1.08138430931337,-0.742702861559989,-0.5923801137505,-1.3189349699533,-0.144230282237774,-0.628703060420986,-0.634932071782028,-0.0571068920731555,-1.26259736324519,-0.375509077243106,-0.428236927403552
"CTGF",0.00732344678769724,-0.321804101322453,-0.232506547451243,0.0786649116089522,-0.349864477124229,-0.551073954078091,-0.230289798397467,-0.223820757937359,-0.981607410098694,-1.20178540762099,-0.376817163318055,-0.715353136808943,-0.984242967280666,0.121951169933886,-1.15936884284311,-1.26972332980392,0.31751902598075,-0.885820464417846,-0.446610878862664,-0.923089078018495
"CYR61",0.292232830374832,-1.69946733837659,-0.61839099569544,0.0576750341474136,-2.07342494308138,-1.79350486335294,-1.51090876894273,-0.805863239551727,-0.71268054250191,-1.80806924717852,-0.0657152596951276,-0.589729982072172,-0.62461518456446,1.42592102059205,-1.11415720671872,-1.1611947658679,0.243208001629774,-2.15932806472875,-0.530180480897279,-0.903015491805705
"AXIN2",-0.614306050009764,0.0231192380035027,1.09751913851233,0.145719122478712,0.0181529834104977,0.440475811295732,-0.0773145646318535,-0.179425200813341,-0.661648381748814,0.497866696820329,-0.542645990221763,-0.223816101287944,0.0575968304438012,0.279278132778428,-0.107401794960107,-0.111177747141228,-0.309859332615356,0.168361383682017,0.103540783557226,-0.873976333785804
