"","Hs_A375","Hs_FemxI","Hs_FemxV","Hs_LOX","Hs_MeWo","Hs_Skmel28","Hs_WM115","Hs_WM1341","Hs_WM1366","Hs_WM1382","Hs_WM239","Hs_WM266","Hs_WM35","Hs_WM45.1","Hs_WM793","Hs_WM852","Hs_WM9","Hs_WM983","Mm_G007LK_vs_DMSO","Mm_WNT_G007LK_vs_WNT"
"MITF",-0.793772809317007,0.235995848256089,0.0122949797260968,-0.220356105575778,0.316008871600712,0.423819061231572,0.0975385810135748,0.131652806295137,-0.280054109091212,0.0631145063087853,0.0732254735829885,-0.0918592892530677,0.0118147171673081,0.0448008874047589,-0.119470351665361,-0.34460234844485,0.120322740474255,0.557335812265523,-0.0494994670658825,-0.278776155493079
"AMOTL2",-0.275718394880714,-0.801127307596637,-0.586777721839793,-0.101970389940005,-0.959191806151583,-0.829867519928975,-0.863983081786557,-0.974938893158018,-0.450489806306002,-1.08138430931337,-0.742702861559989,-0.5923801137505,-1.3189349699533,-0.144230282237774,-0.628703060420986,-0.634932071782028,-0.0571068920731555,-1.26259736324519,-0.375509077243106,-0.428236927403552
"CTGF",0.00732344678769724,-0.321804101322453,-0.232506547451243,0.0786649116089522,-0.349864477124229,-0.551073954078091,-0.230289798397467,-0.223820757937359,-0.981607410098694,-1.20178540762099,-0.376817163318055,-0.715353136808943,-0.984242967280666,0.121951169933886,-1.15936884284311,-1.26972332980392,0.31751902598075,-0.885820464417846,-0.446610878862664,-0.923089078018495
"CYR61",0.292232830374832,-1.69946733837659,-0.61839099569544,0.0576750341474136,-2.07342494308138,-1.79350486335294,-1.51090876894273,-0.805863239551727,-0.71268054250191,-1.80806924717852,-0.0657152596951276,-0.589729982072172,-0.62461518456446,1.42592102059205,-1.11415720671872,-1.1611947658679,0.243208001629774,-2.15932806472875,-0.530180480897279,-0.903015491805705
"WNT5A",-0.465846675117664,0,-0.432721417041437,0.386816234464138,0.148157228030324,1.13563304778986,0.170208932868474,0.461796309193354,-0.189312815192411,0.298626725627971,0.050850973633876,0.0797494099311566,0.349354265701277,-0.772997445422382,0.0646661675134502,0.0749682134808822,0.421869751230347,-0.101944315381274,0.0418797110410554,-0.0471209024602013
"DKK1",-0.18444850739856,0.428982441783228,-1.96471739262651,0.249264358010536,-1.0206554561625,-1.23386120624686,-1.10278641306552,0,-0.710475551286327,-2.00340491164032,-1.1819805409455,-0.185236202373534,-1.59310259701429,0,-1.92171457606385,-0.252728912552963,-0.996847491225153,-2.02425926877426,0.419700592952382,-0.00750878190196217
"DKK3",-0.142350522521112,0.411082367374114,0,-0.812266240305543,-0.429954976499157,0.141736631430374,0.0164582331488221,0.387022330273184,-0.0695885656428854,0.072744065629224,-0.546399383776988,-0.0217187772731418,0.0446598262313758,-0.51683122525911,-0.00763796031429817,0.0296651139599129,0.0969289281825304,-0.751981387613257,0.317426036381555,0.140141343321144
