"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO","Mm_WNT"
"AMOTL2",5.75527640261565,3.31003262986657,2.29918443617713,6.05877778417035,0.534596419832267,3.40346072889913,2.87086275438842,2.99514688178733,6.62739092604231,4.51532892086533,2.20449460165682,2.04198777347744,3.12561593093156,3.10047072158151,6.20690004458937,4.30781410229196,3.965767259567,5.08148932689385,5.04494532048948,4.70386870445731
"CTGF",5.37716196111792,2.4458816411034,1.36596173059127,5.89575134100268,3.59652505683457,4.53956676941937,2.34564988846034,-2.23733028158321,8.33001653546877,4.25989441408872,3.53198213080828,2.32255217858039,5.26212782465601,1.68496823369435,9.81531917854613,4.27454794832893,3.36421660848636,4.84926648506662,4.45640899334667,4.63776261158146
"CYR61",5.77517075053315,2.25468538266659,-1.31308906332087,8.76294210426092,1.78379533682246,1.22598668414894,-0.00393959754245294,3.13854504128766,9.53246443024121,3.64408262412874,0.360139233384334,-0.125435358370498,-0.554623760376268,-3.32192809488736,7.01226635461926,5.85551408695946,3.95538187992385,5.62697292716355,5.31231592039121,5.44685106622434
