baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABHD17C	1466.94880434044	-1.6070238218901e-07	0.232280584429332	-6.91845952531179e-07	0.999999447986796	0.999999999882353
ABHD18	269.618187632741	-5.63036457479937e-08	0.168194180202371	-3.34753828463324e-07	0.999999732905089	0.999999999882353
ABHD2	5796.98915874527	-5.30762012336238e-08	0.143141533943336	-3.70795252582905e-07	0.999999704148193	0.999999999882353
ABHD3	466.35263852216	-4.41617036563449e-08	0.141038360640142	-3.13118384643047e-07	0.999999750167675	0.999999999882353
ABHD4	1066.10611702949	-3.0108137440624e-08	0.118340691398195	-2.54419144293449e-07	0.999999797002893	0.999999999882353
ABHD5	505.692233315993	-4.1275838392812e-08	0.133631378111455	-3.08878341121244e-07	0.99999975355074	0.999999999882353
ABHD6	323.774678064259	-4.69624235902748e-08	0.14432744296645	-3.2538803865036e-07	0.999999740377908	0.999999999882353
ABHD8	314.607883119644	-6.79019708467423e-08	0.172964910024684	-3.92576568490405e-07	0.999999686769217	0.999999999882353
ABI1	1196.3119305095	-2.1219927912017e-08	0.0898987103362837	-2.36042628783435e-07	0.999999811665231	0.999999999882353
ABI2	3089.51256924719	-1.09741447022434e-08	0.0617200494153735	-1.77805183343063e-07	0.999999858131989	0.999999999882353
ABL1	2928.22661333963	-1.7904089888671e-08	0.0797443881753719	-2.24518493380334e-07	0.99999982086016	0.999999999882353
ABL2	3696.26132705309	-6.52233948024475e-08	0.146243505953619	-4.45991733972331e-07	0.999999644150081	0.999999999882353
ABLIM1	1068.38471931457	-8.13359912332631e-08	0.185557332053783	-4.38333480725451e-07	0.999999650260483	0.999999999882353
ABR	253.411270177023	-3.65603489533934e-07	0.355765004766069	-1.02765444784074e-06	0.999999180050382	0.999999999882353
ABR.1	345.609923656444	-6.87544654465884e-08	0.194569552657094	-3.53367032547791e-07	0.9999997180539	0.999999999882353
ABR.2	2967.90773288325	-4.81585128542187e-08	0.131934257226294	-3.65019016794228e-07	0.999999708756962	0.999999999882353
ABRACL	757.486229864234	-5.53955275310636e-08	0.147862825990706	-3.74641341797062e-07	0.999999701079458	0.999999999882353
ABRAXAS1	243.475943925077	-6.39436800320599e-08	0.174957636635244	-3.65480931623301e-07	0.999999708388407	0.999999999882353
ABRAXAS2	820.331321149841	-2.82081638183608e-08	0.105848270510414	-2.66496218429809e-07	0.999999787366782	0.999999999882353
ABT1	1000.47982546683	-2.19609440904083e-08	0.0923535820324423	-2.37792012037971e-07	0.999999810269425	0.999999999882353
ABTB1	928.683574458849	-6.28851908327492e-08	0.161746877318217	-3.88787665489396e-07	0.999999689792324	0.999999999882353
ABTB2	754.468949304148	-5.71298199545708e-08	0.156161677677733	-3.65837642142065e-07	0.999999708103794	0.999999999882353
ACAA2	1350.42910012042	-3.17298542891203e-08	0.107525037039649	-2.95092707360986e-07	0.999999764550085	0.999999999882353
ACACA	1866.11131319136	-4.98143054669165e-07	0.398383247972254	-1.25041165060198e-06	0.999999002315849	0.999999999882353
ACACA.1	2253.8932768328	-1.33034302704887e-07	0.232374427642896	-5.7249975418693e-07	0.999999543211285	0.999999999882353
ACACB	233.02474383576	-6.70323348217922e-08	0.178916650365475	-3.74656772775839e-07	0.999999701067145	0.999999999882353
ACAD10	646.052719329881	-3.07542217163308e-08	0.111825918062504	-2.75018727761673e-07	0.999999780566803	0.999999999882353
ACAD11	789.467854121682	-7.40965658153002e-08	0.181565653735137	-4.08097921005424e-07	0.99999967438497	0.999999999882353
ACAD8	816.238309952579	-2.3047149576087e-08	0.0973548734686423	-2.36733393562577e-07	0.99999981111408	0.999999999882353
ACAD9	1689.52020355325	-2.29380016173817e-08	0.0908017013474523	-2.52616429835489e-07	0.999999798441251	0.999999999882353
ACADM	1826.63417195057	-1.44027768668868e-08	0.0725636764605606	-1.98484662980313e-07	0.999999841632152	0.999999999882353
ACADS	258.491046654144	-7.08816201401523e-08	0.182076884188244	-3.89294997309323e-07	0.999999689387532	0.999999999882353
ACADSB	679.269601581037	-5.172835424649e-08	0.152735797021761	-3.38678654612448e-07	0.99999972977353	0.999999999882353
ACADVL	8514.24875690005	-1.75863896697322e-08	0.0708631519817609	-2.48173968810457e-07	0.999999801985822	0.999999999882353
ACAP1	38.9757932518591	-2.45543794250419e-07	0.434865402664981	-5.64643203956111e-07	0.999999549479905	0.999999999882353
ACAP2	1846.28059936909	-3.69422879415026e-08	0.123970082850284	-2.97993573063244e-07	0.999999762235529	0.999999999882353
ACAP3	1719.85052564059	-1.72268745440181e-08	0.0813939679161609	-2.11648049420105e-07	0.999999831129289	0.999999999882353
ACAT1	2350.16944263561	-4.02242778821837e-08	0.114398810864213	-3.51614475520452e-07	0.999999719452239	0.999999999882353
ACAT2	2076.61060207625	-9.1917618994827e-08	0.173371623135855	-5.30176838240708e-07	0.999999576980086	0.999999999882353
ACBD3	1845.9189619675	-1.91799464621881e-08	0.0832071768390598	-2.30508319003374e-07	0.999999816080971	0.999999999882353
ACBD4	142.602596699312	-1.91097122080246e-07	0.308793823251953	-6.1885020907405e-07	0.999999506228973	0.999999999882353
ACBD5	1048.97989946649	-2.01634296723105e-08	0.0881446182647932	-2.2875395082815e-07	0.999999817480754	0.999999999882353
ACBD6	1385.07237387347	-3.27489781217747e-08	0.107028054303418	-3.0598498996285e-07	0.999999755859301	0.999999999882353
ACCS	309.326466925666	-6.65559153158165e-08	0.181756553053809	-3.66181654512961e-07	0.999999707829311	0.999999999882353
ACD	895.663836143657	-4.81661108187835e-08	0.131772340358245	-3.65525198139731e-07	0.999999708353088	0.999999999882353
ACER2	26.2978495598035	-2.99725780612834e-07	0.480113900554111	-6.24280572311932e-07	0.99999950189617	0.999999999882353
ACER3	947.796432004354	-2.06050287030143e-08	0.091106189261159	-2.26164971558071e-07	0.999999819546461	0.999999999882353
ACIN1	5625.72897221475	-1.09706532501568e-08	0.059722470067434	-1.83693896748905e-07	0.999999853433476	0.999999999882353
ACLY	12462.1610797899	-8.70193430171468e-09	0.0504159067026873	-1.72602951545268e-07	0.99999986228277	0.999999999882353
ACMSD	14.3526209532311	-3.40564506228606e-07	0.638390072514108	-5.33474001071782e-07	0.999999574349331	0.999999999882353
ACO1	2280.37143501138	-2.27463515813942e-08	0.0939643456302333	-2.42074282844529e-07	0.999999806852667	0.999999999882353
ACO2	2951.36482611956	-1.65928417014712e-08	0.0752302084329823	-2.20560889662464e-07	0.999999824017871	0.999999999882353
ACOT1	121.07713411464	-1.73057210451604e-07	0.318553350992542	-5.43259739420088e-07	0.999999566541441	0.999999999882353
ACOT11	253.109814578427	-6.06427722586631e-08	0.177056000871762	-3.42506167314745e-07	0.999999726719617	0.999999999882353
ACOT13	708.57734131957	-4.29758880239584e-08	0.137397095064423	-3.12786001798711e-07	0.999999750432878	0.999999999882353
ACOT2	704.597727705573	-2.34720652316338e-08	0.100366997267667	-2.33862383757845e-07	0.999999813404815	0.999999999882353
ACOT7	4976.06715781498	-5.24778257214802e-08	0.125463722353964	-4.1827091319216e-07	0.999999666268096	0.999999999882353
ACOT8	723.486500671871	-4.61567218918519e-08	0.135188236111836	-3.41425579764709e-07	0.999999727581801	0.999999999882353
ACOT9	1397.7305192735	-4.60075734371322e-08	0.125813107762834	-3.656818773117e-07	0.999999708228076	0.999999999882353
ACOX1	959.855831284275	-2.46456105592472e-08	0.0992587209207649	-2.48296676912863e-07	0.999999801887915	0.999999999882353
ACOX2	259.450387761132	-9.97004913037429e-08	0.206735479963057	-4.82261154793357e-07	0.99999961521127	0.999999999882353
ACOX3	467.310751853965	-3.78794970251028e-08	0.125018150896202	-3.02991979593049e-07	0.999999758247377	0.999999999882353
ACP1	2052.22094788683	-2.38295912372113e-08	0.089071378716414	-2.67533652005995e-07	0.99999978653903	0.999999999882353
ACP2	1131.05556798965	-1.68584713062496e-08	0.0800820782272948	-2.10514907697583e-07	0.999999832033405	0.999999999882353
ACP5	160.121628813767	-6.86197718052733e-07	0.512856765665758	-1.33799096354312e-06	0.999998932437668	0.999999999882353
ACP6	753.774290599921	-4.61754108522571e-08	0.132201155011309	-3.49281448019929e-07	0.999999721313725	0.999999999882353
ACSBG1	41.3267391472668	-2.34431446851445e-07	0.414335935877981	-5.6580042074961e-07	0.99999954855658	0.999999999882353
ACSF2	432.829111266214	-5.24219652785784e-08	0.152003132925256	-3.44874242193125e-07	0.999999724830167	0.999999999882353
ACSF3	643.35802553044	-4.63999778974987e-08	0.135131023444432	-3.43370284001284e-07	0.999999726030152	0.999999999882353
ACSL1	849.243798134609	-3.88097149507011e-08	0.128145515971396	-3.02856597490029e-07	0.999999758355397	0.999999999882353
ACSL3	8699.25176655681	-4.30762489487262e-08	0.11399214461496	-3.77887871960198e-07	0.999999698489101	0.999999999882353
ACSL4	8262.65607978623	-2.31748391575998e-08	0.0907306860114371	-2.55424489512606e-07	0.999999796200743	0.999999999882353
ACSL6	29.4447772868026	-4.13647359279131e-07	0.663563246918819	-6.23372920667104e-07	0.999999502620371	0.999999999882353
ACSM3	47.2218944510889	-2.06291410985269e-07	0.447775026112853	-4.60703252649194e-07	0.999999632411988	0.999999999882353
ACSS1	623.931770567018	-3.14299746567419e-08	0.115667886587539	-2.71726021664235e-07	0.999999783194003	0.999999999882353
ACSS2	1664.7865381385	-6.22586532849476e-08	0.152563222124744	-4.08084284127413e-07	0.99999967439585	0.999999999882353
ACTB	106134.328723481	-6.48551016224008e-08	0.122348673584446	-5.30084223411193e-07	0.999999577053982	0.999999999882353
ACTG1	70210.338495663	-8.23928225392296e-08	0.138792769372378	-5.9363915650513e-07	0.999999526344482	0.999999999882353
ACTL6A	2637.78211330909	-1.25675950170569e-08	0.065550992016267	-1.91722422964066e-07	0.999999847027639	0.999999999882353
ACTN1	16076.1563227603	-3.3072569286888e-08	0.0972552378035029	-3.40059517963533e-07	0.999999728671761	0.999999999882353
ACTN4	12034.7070016911	-1.06722460102039e-08	0.0557554671023	-1.91411650997785e-07	0.999999847275599	0.999999999882353
ACTN4.1	12034.7070016911	-1.06722460102039e-08	0.0557554671023	-1.91411650997785e-07	0.999999847275599	0.999999999882353
ACTR10	1297.85553075178	-1.628345816086e-08	0.0786088898213686	-2.07145250338259e-07	0.999999834722003	0.999999999882353
ACTR1A	3808.32056731787	-1.46832252799122e-08	0.0685962285647289	-2.14052952868346e-07	0.999999829210454	0.999999999882353
ACTR1B	1561.81487577227	-1.87852522726424e-08	0.0840789429698987	-2.2342398238008e-07	0.999999821733454	0.999999999882353
ACTR2	12082.0898481504	-1.97087735152201e-08	0.0775613177376546	-2.5410570745953e-07	0.999999797252979	0.999999999882353
ACTR3	8857.09183315284	-1.72740726688832e-08	0.0738440018587677	-2.3392655102741e-07	0.999999813353617	0.999999999882353
ACTR3B	313.135998805326	-5.17832465213032e-08	0.152422759611936	-3.39734345796795e-07	0.999999728931211	0.999999999882353
ACTR5	309.888781335607	-5.5501949103525e-08	0.156693136199314	-3.54207915226908e-07	0.999999717382973	0.999999999882353
ACTR6	1017.46754161557	-5.51311826980247e-08	0.141306526367665	-3.9015312395819e-07	0.999999688702846	0.999999999882353
ACTR8	1021.97864291848	-2.08188964839258e-08	0.0908683455782005	-2.29110548359321e-07	0.999999817196231	0.999999999882353
ACVR1	1402.72112765691	-1.88382347146276e-08	0.0883269919787304	-2.1327834552731e-07	0.999999829828501	0.999999999882353
ACVR1B	1254.42428507847	-2.4400915053858e-08	0.100221579915815	-2.43469670647326e-07	0.999999805739309	0.999999999882353
ACVR2A	289.69208349706	-4.6157267004925e-08	0.150697245014604	-3.06291379118789e-07	0.999999755614837	0.999999999882353
ACVR2B	487.963624056315	-5.65530167544723e-08	0.156816608217658	-3.60631551703874e-07	0.999999712257653	0.999999999882353
ACY1	1439.05179546855	-5.22523743378174e-08	0.134951153155961	-3.87194722800405e-07	0.999999691063309	0.999999999882353
ACYP1	198.941101996968	-9.96846691622935e-08	0.210640419974457	-4.73245681785014e-07	0.999999622404577	0.999999999882353
ACYP2	165.297993815385	-7.92902721562554e-08	0.205007739539047	-3.8676721344539e-07	0.999999691404412	0.999999999882353
ADA	388.243766098912	-5.34715607448223e-08	0.151005617476467	-3.54103123038819e-07	0.999999717466585	0.999999999882353
ADAL	603.847991761433	-3.11139368309605e-08	0.113391455176114	-2.7439401657414e-07	0.999999781065251	0.999999999882353
ADAM10	6092.73585889341	-1.87697727063741e-08	0.0806288550236173	-2.32792251618557e-07	0.999999814258657	0.999999999882353
ADAM11	108.881874495935	-1.61204935178329e-07	0.285057235030771	-5.65517781581398e-07	0.999999548782093	0.999999999882353
ADAM12	3579.15542500735	-2.82718748260179e-08	0.114183888153719	-2.47599510606584e-07	0.999999802444173	0.999999999882353
ADAM15	4781.19354515925	-1.2177607991218e-08	0.0621043791700196	-1.96082919658211e-07	0.999999843548466	0.999999999882353
ADAM17	2082.57648821869	-2.7034096172056e-08	0.102170371455299	-2.64598197960783e-07	0.999999788881183	0.999999999882353
ADAM19	1444.37935565313	-9.22836788660437e-08	0.201537990461585	-4.5789718680178e-07	0.999999634650904	0.999999999882353
ADAM22	221.845115890584	-1.00151945435829e-07	0.224964896351537	-4.45189214228909e-07	0.999999644790399	0.999999999882353
ADAM8	131.788944727784	-1.05148517955136e-07	0.264734569127032	-3.97184690695534e-07	0.999999683092468	0.999999999882353
ADAM9	10078.6360268397	-7.20038131494211e-09	0.0485750230861197	-1.48232174839658e-07	0.999999881727836	0.999999999882353
ADAMTS1	2666.21465497775	-5.82592546518177e-07	0.490355299280595	-1.18810288656593e-06	0.99999905203105	0.999999999882353
ADAMTS13	47.8680971693027	-1.77052469188547e-07	0.377678172401643	-4.68791903071011e-07	0.999999625958178	0.999999999882353
ADAMTS13.1	47.8680971693027	-1.77052469188547e-07	0.377678172401643	-4.68791903071011e-07	0.999999625958178	0.999999999882353
ADAMTS4	85.6918576602218	-2.24136053677013e-07	0.329796284639546	-6.79619705000572e-07	0.99999945774193	0.999999999882353
ADAMTS6	1015.44691051206	-1.30038617408773e-07	0.276631507171706	-4.70078837867366e-07	0.999999624931353	0.999999999882353
ADAMTS9	415.13754348934	-7.69582628125589e-08	0.211531313744789	-3.63814990084204e-07	0.999999709717636	0.999999999882353
ADAMTSL3	310.607598521976	-1.12905542165967e-07	0.250338412485496	-4.5101165676086e-07	0.999999640144762	0.999999999882353
ADAMTSL4	618.183611112371	-1.35433869010015e-07	0.228934701716062	-5.91582962280606e-07	0.999999527985088	0.999999999882353
ADAMTSL5	262.401932154977	-1.12199669148004e-07	0.236039576798231	-4.75342612751392e-07	0.999999620731468	0.999999999882353
ADAR	11604.6593581425	-3.35111646797893e-08	0.104251244182504	-3.21446184576217e-07	0.999999743523052	0.999999999882353
ADARB1	2072.38071911907	-4.07176583176988e-08	0.128393605718601	-3.17131512039154e-07	0.999999746965663	0.999999999882353
ADARB2	12.3189312016093	-1.16845841270049e-06	1.02604737171818	-1.13879577581669e-06	0.999999091372433	0.999999999882353
ADAT1	998.73716455874	-4.85844084654625e-08	0.142487141519398	-3.40973985072529e-07	0.999999727942122	0.999999999882353
ADAT2	338.319627035851	-8.07359568141911e-08	0.193529234516224	-4.17177058628953e-07	0.999999667140866	0.999999999882353
ADAT3	98.9823486605869	-1.2970934672864e-07	0.261779537983025	-4.95490777193789e-07	0.999999604655559	0.999999999882353
ADAT3.1	98.9823486605869	-1.2970934672864e-07	0.261779537983025	-4.95490777193789e-07	0.999999604655559	0.999999999882353
ADCK1	149.705625598099	-7.43204535038766e-08	0.201342663394589	-3.69124219630613e-07	0.999999705481484	0.999999999882353
ADCK2	738.383134958993	-5.23020566798934e-08	0.142812832597986	-3.66227990359397e-07	0.999999707792341	0.999999999882353
ADCK5	212.705022100842	-1.0402808910788e-07	0.228856098720269	-4.54556770344294e-07	0.999999637316171	0.999999999882353
ADCY2	15.2479902031548	-4.7434365636994e-07	0.725872860784574	-6.53480357231204e-07	0.999999478598112	0.999999999882353
ADCY3	3463.97544568939	-2.05436110083699e-08	0.0848711482995662	-2.42056475256561e-07	0.999999806866876	0.999999999882353
ADCY6	1377.85783756812	-2.40148162582644e-08	0.0941553998735756	-2.5505511410402e-07	0.999999796495462	0.999999999882353
ADCY7	1117.46208537189	-4.40124352733455e-08	0.132029089284106	-3.33354077589959e-07	0.999999734021928	0.999999999882353
ADCY9	1190.94033001075	-3.86947785404533e-08	0.131030950904212	-2.95310216963475e-07	0.999999764376537	0.999999999882353
ADD1	5105.93379744832	-2.75562486256889e-08	0.0961274187036251	-2.86663773950374e-07	0.999999771275401	0.999999999882353
ADD3	3864.16972888086	-5.61528871309848e-08	0.142151527642057	-3.95021341398314e-07	0.99999968481857	0.999999999882353
ADGB	21.61816885997	-2.96918757236509e-07	0.854831591339823	-3.4734181591386e-07	0.999999722861328	0.999999999882353
ADGRA2	504.035133591581	-3.65386336378864e-08	0.129891023488478	-2.81302222867831e-07	0.999999775553299	0.999999999882353
ADGRA3	2964.66795884086	-2.32512991320247e-08	0.0944469035887012	-2.4618381597008e-07	0.999999803573734	0.999999999882353
ADGRD1	17.9696411735804	-3.07181395214768e-07	0.616087591005096	-4.98600198575054e-07	0.999999602174599	0.999999999882353
ADGRE5	3514.72282887386	-5.5201685990962e-08	0.135482008016688	-4.07446618182412e-07	0.999999674904634	0.999999999882353
ADGRG1	1792.82840599928	-4.99126862806842e-08	0.130025837647453	-3.83867446530246e-07	0.999999693718091	0.999999999882353
ADGRL1	1281.14203018164	-1.9250080349996e-08	0.0873211964990775	-2.20451403803192e-07	0.999999824105228	0.999999999882353
ADGRL2	1039.12002758556	-8.6422888076818e-08	0.194605139638563	-4.44093553938657e-07	0.99999964566461	0.999999999882353
ADGRV1	110.866219005817	-2.08606658299677e-07	0.307653862557546	-6.78056360370441e-07	0.999999458989299	0.999999999882353
ADH5	3859.28836445704	-1.52314654204027e-08	0.0700509831657026	-2.17433999239858e-07	0.999999826512769	0.999999999882353
ADHFE1	19.3982026267247	-3.32793390354809e-07	0.619802011169862	-5.36934995945994e-07	0.999999571587857	0.999999999882353
ADI1	2597.67177052091	-1.40934487155221e-08	0.0676912715124561	-2.08201861194596e-07	0.999999833878949	0.999999999882353
ADIPOR1	4672.3616976706	-1.91756592963202e-08	0.0779617178669573	-2.45962503405117e-07	0.999999803750316	0.999999999882353
ADIPOR2	4268.44343581958	-7.93400422521962e-09	0.0505180090090948	-1.57052987258291e-07	0.999999874689846	0.999999999882353
ADK	1385.9763237929	-3.50051526197072e-08	0.11287673013223	-3.10118414829168e-07	0.999999752561305	0.999999999882353
ADM	301.252163937198	-3.45024351644695e-07	0.351659581898728	-9.81131666544651e-07	0.999999217170191	0.999999999882353
ADM2	446.928215123505	-2.13195863663965e-07	0.30306389614977	-7.03468365491502e-07	0.999999438713452	0.999999999882353
ADNP	4867.44963406721	-1.94855562938002e-08	0.0808741762756123	-2.40936689449486e-07	0.999999807760335	0.999999999882353
ADNP2	1126.4208998632	-2.15893333717993e-08	0.0912074846165079	-2.36705720616834e-07	0.99999981113616	0.999999999882353
ADO	1077.06287052089	-2.17339549243765e-08	0.0934418702425655	-2.32593321045024e-07	0.99999981441738	0.999999999882353
ADO.1	1077.06287052089	-2.17339549243765e-08	0.0934418702425655	-2.32593321045024e-07	0.99999981441738	0.999999999882353
