"gene_id","symbol","DMSO","G007LK","WNT","WNT_G007LK"
"ENSMUSG00000100223","GM29403",0,0,0,0
"ENSMUSG00000100225","GM29097",0,0,0,0
"ENSMUSG00000100226","GM20904",0,0,0,0
"ENSMUSG00000100228","GM29257",0.97546038529995,0.619752004230409,1.0317276082494,0.847100468775659
"ENSMUSG00000100229","GM21896",0,0,0,0
"ENSMUSG00000100230","GM28650",0.750010360378414,1.05647946821336,1.12953671641046,2.19370988039168
"ENSMUSG00000100231","GM29554",0,0,0,0
"ENSMUSG00000100233","GM20811",0,0,0,0
"ENSMUSG00000100234","GM13277",0.00699281996037745,0,0,0
"ENSMUSG00000100235","GM28557",2.72130860763068,2.29182728711437,2.56205961344086,2.52725869177914
"ENSMUSG00000100236","GM3841",0,0,0,0
"ENSMUSG00000100239","GM28146",0,0,0,0
"ENSMUSG00000100240","GM20820",0,0,0,0
"ENSMUSG00000100241","SLC18A3",0,0,0,0
"ENSMUSG00000100244","GM29279",0,0,0,0
"ENSMUSG00000100245","GM21282",0,0,0,0
"ENSMUSG00000100246","GM20879",0,0,0,0
"ENSMUSG00000100249","BTBD35F23",0,0,0,0
"ENSMUSG00000100250","GM18353",0,0,0,0
"ENSMUSG00000100251","GM29615",0,0,0,0
"ENSMUSG00000100254","TRPC2",0.0612244361166619,0.192218467186829,0.0281890063521705,0
"ENSMUSG00000100257","C4BP-PS1",0.0387196263019955,0,0,0
"ENSMUSG00000100258","GM29045",0,0,0,0
"ENSMUSG00000100260","GM28608",0,0,0,0
"ENSMUSG00000100261","GM6473",0.0170813540044573,0.0233125778970062,0,0.0228852997013812
"ENSMUSG00000100263","GM28468",0,0,0,0
"ENSMUSG00000100265","GM28363",0,0,0,0
"ENSMUSG00000100266","GM5372",0,0,0,0.203236818739539
"ENSMUSG00000100267","GM28779",0,0,0,0
"ENSMUSG00000100268","GM29468",0,0,0,0
"ENSMUSG00000100270","GM21803",0,0,0,0
"ENSMUSG00000100271","GM21127",0,0,0,0
"ENSMUSG00000100272","GM28785",0,0,0,0
"ENSMUSG00000100273","GM29526",0,0,0,0
"ENSMUSG00000100275","GM28915",0,0,0,0
"ENSMUSG00000100276","GM29618",0,0,0,0
"ENSMUSG00000100283","GM29024",0,0,0,0
"ENSMUSG00000100284","GM29239",0,0,0,0
"ENSMUSG00000100285","GM21147",2.36377410562657e-09,1.29068744951627e-09,2.87268779655871e-09,0
"ENSMUSG00000100289","GM28917",0,0,0,0
"ENSMUSG00000100290","GM18552",0,0,0,0
"ENSMUSG00000100295","GM28165",0,0,0,0
"ENSMUSG00000100296","VMN1R205",0,0,0,0
"ENSMUSG00000100299","GM28584",0,0,0,0
"ENSMUSG00000100300","GM28191",0,0,0,0
"ENSMUSG00000100304","GM28190",0,0,0,0
"ENSMUSG00000100305","GM28360",0.0196339091045218,0,0,0.0286191537107515
"ENSMUSG00000100307","GM29546",0,0,0,0
"ENSMUSG00000100308","GM29410",0,0,0,0
"ENSMUSG00000100309","GM6644",0,0,0,0
"ENSMUSG00000100310","GM19641",0,0.0771400601875419,0.086167551709297,0
"ENSMUSG00000100312","GM29048",0,0,0,0
"ENSMUSG00000100316","GM28812",0,0,0,0
"ENSMUSG00000100317","GM28224",0,0,0,0
"ENSMUSG00000100318","GM18799",0,0,0,0
"ENSMUSG00000100319","GM5256",0.1718081801837,0.0838295832203754,0.138367495640193,0.0677390582458601
"ENSMUSG00000100322","GM29624",0,0,0,0
"ENSMUSG00000100324","GM9156",0,0,0,0
"ENSMUSG00000100326","GM28974",0,0,0,0
"ENSMUSG00000100330","GM28531",0,0,0,0
"ENSMUSG00000100331","GM20880",0,0,0,0
"ENSMUSG00000100337","GM5066",0.0258118664089234,0.038751748412174,0,0
"ENSMUSG00000100338","GM28870",0,0,0,0
"ENSMUSG00000100339","GM21864",0,0,0,0
"ENSMUSG00000100340","GM28923",0.132211264280669,0,0,0
"ENSMUSG00000100343","GM20923",0,0,0,0
"ENSMUSG00000100344","GM29640",0,0,0,0
"ENSMUSG00000100346","GM28996",0,0,0,0
"ENSMUSG00000100347","GM7895",0,0.0739847476897345,0.0523452461309417,0.0300225361258968
"ENSMUSG00000100349","GM28188",0,0.413664136040887,0.295453483519763,0.267014939861118
"ENSMUSG00000100351","GM7867",0.422822370691217,0.205481842512082,0.70352042083495,0.161925246161278
"ENSMUSG00000100353","GM28859",0,0,0,0
"ENSMUSG00000100355","GM28107",0,0,0,0
"ENSMUSG00000100356","GM18797",0,0,0,0
"ENSMUSG00000100358","SCGB1B4-PS",0,0,0,0
"ENSMUSG00000100359","GM21766",0,0,0,0
"ENSMUSG00000100360","GM28649",0,0,0,0
"ENSMUSG00000100361","GM7063",0.0438052429850198,0.047698226479261,0.0644361695571776,0.021684421463168
"ENSMUSG00000100362","GM1833",0,0,0,0
"ENSMUSG00000100363","GM20805",0,0,0,0
"ENSMUSG00000100365","GM29319",0,0,0,0
"ENSMUSG00000100374","GM4451",0,0,0,0
"ENSMUSG00000100375","GM28114",0,0,0,0
"ENSMUSG00000100376","GM28060",0,0,0,0
"ENSMUSG00000100377","GM28369",0,0,0,0
"ENSMUSG00000100378","RPAP3-PS1",0,0,0,0
"ENSMUSG00000100379","GM28677",0,0,0,0
"ENSMUSG00000100380","GM17867",0.0918851205729354,0.181800278523875,0,0
"ENSMUSG00000100381","GM28094",0,0,0,0
"ENSMUSG00000100382","GM28924",0,0,0,0
"ENSMUSG00000100383","GM28688",0.367629686922248,0,0,0
"ENSMUSG00000100384","GM28489",0,0,0,0
"ENSMUSG00000100385","GM29227",0,0,0,0
"ENSMUSG00000100386","SCGB2B13-PS",0,0,0,0
"ENSMUSG00000100389","RBM6-PS2",0,0.0164290163110326,0,0
"ENSMUSG00000100390","GM20881",0,0,0,0
"ENSMUSG00000100391","GM28978",0,0,0,0
"ENSMUSG00000100397","GM28071",0,0,0,0
"ENSMUSG00000100398","GM5251",0,0,0,0
"ENSMUSG00000100403","GM21838",0,0,0,0
"ENSMUSG00000100404","GM21577",0,0,0,0
"ENSMUSG00000100405","GM28911",0,0,1.3040149263679,0
"ENSMUSG00000100406","GM28120",0,0,0,0
"ENSMUSG00000100408","GM28885",0,0,0,0
"ENSMUSG00000100411","GM29269",0,0,0,0
"ENSMUSG00000100412","GM28572",0,0,0,0
"ENSMUSG00000100413","GM21506",0,0,0,0
"ENSMUSG00000100418","GM28239",0,0,0,0
"ENSMUSG00000100428","GM29413",0,0,0,0
"ENSMUSG00000100432","GM7539",0,0.0431960408581948,0,0
"ENSMUSG00000100433","GM21198",0,0,0,0
"ENSMUSG00000100434","GM3489",0.0615235751229013,0,0,0
"ENSMUSG00000100436","GM29657",0,0,0,0.0917887270632097
"ENSMUSG00000100438","GM21825",0,0,0,0
"ENSMUSG00000100439","GM28922",0,0,0,0
"ENSMUSG00000100441","GM7266",0.0843042378678392,0.160631456437475,0.42325892761768,0.0702809690023181
"ENSMUSG00000100442","GM20866",0,0,0,0
"ENSMUSG00000100443","SCGB2B16-PS",0,0,0,0
"ENSMUSG00000100445","GM29550",0.149683629808898,0,0,0.241367856408247
"ENSMUSG00000100447","GM29378",0,0,0,0
"ENSMUSG00000100448","H2AL1K",0,0,0,0
"ENSMUSG00000100449","GM28757",0,0,0,0
"ENSMUSG00000100450","GM9443",0.0264913017661825,0,0,0.0270886791381031
"ENSMUSG00000100453","GM28397",0,0,0,0
"ENSMUSG00000100456","GM21868",0,0,0,0
"ENSMUSG00000100458","OLFR1060-PS1",0,0,0,0
"ENSMUSG00000100460","GM28145",0,0,0,0
"ENSMUSG00000100462","GM28115",0,0,0,0
"ENSMUSG00000100463","GM28848",0,0,0,0
"ENSMUSG00000100464","GM21771",0,0,0,0
"ENSMUSG00000100467","GM29582",0,0,0,0
"ENSMUSG00000100468","TMEM167-PS1",0,0,0,0
"ENSMUSG00000100469","GM28895",0,0,0,0
"ENSMUSG00000100470","GM29479",0,0,0,0
"ENSMUSG00000100471","GM28409",0,0,0,0
"ENSMUSG00000100472","GM28918",0,0,0,0
"ENSMUSG00000100473","GM21804",0,0,0,0
"ENSMUSG00000100474","GM29614",0,0,0,0
"ENSMUSG00000100476","NANOG-PS2",0,0,0,0
"ENSMUSG00000100477","GM28507",0,0,0,0
"ENSMUSG00000100479","GM28921",0,0,0,0
"ENSMUSG00000100481","GM7114",0,0,0,0
"ENSMUSG00000100484","GM7133",0,0,0,0
"ENSMUSG00000100485","GM20920",0,0,0,0
"ENSMUSG00000100486","GM4131",0,0.0186513293152867,0.0210430419233273,0
"ENSMUSG00000100488","GM29559",0,0,0,0
"ENSMUSG00000100489","GM28303",0,0,0,0
"ENSMUSG00000100490","GM28455",0.0517060594088893,0.0182266402266839,0.0562996622470306,0
"ENSMUSG00000100494","GM29033",0,0,0,0
"ENSMUSG00000100495","GM29369",0,0,0,0
"ENSMUSG00000100497","GM28624",0,0,0,0
"ENSMUSG00000100503","GM28927",0,0,0,0
"ENSMUSG00000100504","GM28926",0,0,0,0
"ENSMUSG00000100505","GM13283",0.181569234500085,0.511239857766159,0.156809163132296,0.329879826934789
"ENSMUSG00000100506","NANOG-PS1",0,0,0,0
"ENSMUSG00000100507","GM21906",0,0,0,0
"ENSMUSG00000100509","GM21810",0,0,0,0
"ENSMUSG00000100512","OVOL3",0,0,0,0.0453940418705184
"ENSMUSG00000100513","RPL23A-PS11",0,0,0,0
"ENSMUSG00000100514","GM12960",1.72095415997729,0.696176012130508,1.1722523866653,0.887896795961736
"ENSMUSG00000100515","GM17916",0,0,0,0
"ENSMUSG00000100516","GM29332",0,0,0,0
"ENSMUSG00000100517","GM29627",0,0,0,0
"ENSMUSG00000100519","GM20801",0,0,0,0
"ENSMUSG00000100520","GM20885",0,0,0,0
"ENSMUSG00000100521","GM29058",0,0,0,0
"ENSMUSG00000100522","GM19280",0,0,0,0
"ENSMUSG00000100523","GM29608",0,0,0,0
"ENSMUSG00000100524","GM28418",0,0,0,0
"ENSMUSG00000100525","GM20058",0,0,0,0
"ENSMUSG00000100527","GM28359",0,0,0,0
"ENSMUSG00000100530","GM18117",0,0,0,0
"ENSMUSG00000100535","GM20870",0,0,0,0
"ENSMUSG00000100539","GM20913",0,0,0,0
"ENSMUSG00000100540","GM20799",0,0,0,0
"ENSMUSG00000100541","GM28871",0,0,0,0
"ENSMUSG00000100542","GM28097",0,0,0,0
"ENSMUSG00000100543","GM29127",0,0,0,0
"ENSMUSG00000100547","GM28611",0,0,0,0
"ENSMUSG00000100549","IFNA11",0,0,0,0
"ENSMUSG00000100551","GM19503",0,0,0,0.430404756182534
"ENSMUSG00000100554","GM7690",0,0.0182340895525107,0,0
"ENSMUSG00000100555","GM8173",0.00727762174672158,0.044764680852911,0.0435561660985728,0
"ENSMUSG00000100559","GM20803",0,0,0,0
"ENSMUSG00000100560","GM21180",0,0,0,0
"ENSMUSG00000100561","GM7516",0.203220790545588,0.101880192525949,0.187221063735009,0.0649534658246267
"ENSMUSG00000100563","GM3096",0,0,0,0
"ENSMUSG00000100564","GM28682",0,0,0,0
"ENSMUSG00000100566","TMEM167-PS2",0,0,0,0
"ENSMUSG00000100567","GM28958",0,0,0,0
"ENSMUSG00000100568","GM29602",0.12391071674596,0.0706887394111781,0.0790215482499371,0.0613547763443403
"ENSMUSG00000100569","GM28646",0,0,0,0
"ENSMUSG00000100571","GM29474",0,0,0,0
"ENSMUSG00000100575","GM21489",0,0,0,0
"ENSMUSG00000100576","GM28975",0,0,0,0
"ENSMUSG00000100577","GM29429",0,0,0,0
"ENSMUSG00000100581","GM21785",0,0,0,0
"ENSMUSG00000100586","VMN1R90",0.0702699302331343,0.0887390197942185,0.0536746136529546,0.135167634552867
"ENSMUSG00000100587","GM28797",0,0,0,0
"ENSMUSG00000100590","GM4785",0,0,0,0
"ENSMUSG00000100591","GM21919",0,0,0,0
"ENSMUSG00000100592","GM28645",0,0,0,0
"ENSMUSG00000100595","GM19087",0,0.0236982163175787,0,0
"ENSMUSG00000100598","GM28742",0,0,0,0
"ENSMUSG00000100602","GM19498",0.21848421915902,0.662750068869477,0.905989339354434,0.777314566767779
"ENSMUSG00000100604","GM29256",0,0,0,0
"ENSMUSG00000100608","GM21996",0,0,0,0
"ENSMUSG00000100610","GM29031",0,0,0,0
"ENSMUSG00000100611","GM21247",0,0,0,0
