symbol
CXCL13
CCL27
CXCL5
CCL11
CCL24
CX3CL1
CSF2
CCL1
IFNG
IL1B
IL2
IL4
IL6
IL10
IL16
CXCL10
CXCL11
CXCL1
CCL2
CCL7
CCL12
CCL22
CCL3
CCL4
CXCL2
CCL20
CCL5
CCL19
CXCL16
CXCL12
CCL17
CCL25
TNF
