"","Mm_DMSO","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"FKBP4",8.84651757704026,8.72454234723516,8.92841559310755,8.82485477981547
"NDUFAB1",8.38453311459535,8.38306091383508,8.44765776735434,8.44666130902996
"SLC25A5",10.0582001845237,10.0096866850591,10.0454359801605,10.0829515869989
"BAIAP2L1",8.29532865218443,8.34112188806125,8.24037245865365,8.31230978761757
"PSMB1",8.32277115790347,8.33483613142351,8.33048930236591,8.49711866973908
"PTBP1",8.43609967489302,8.3530469815547,8.39867722292648,8.21144560728731
"LARS2",9.26220593198287,9.3976106080892,9.10040820297385,9.17191636344821
"MDH1",7.93928178339829,7.98711053082083,8.02310091744955,8.20567074291739
"VIM",11.3985418715861,11.3557347784117,11.2333157263256,11.1156384700571
"SARS",8.79293448465461,8.81255057163336,8.84671869047034,8.8363089483497
"AP2S1",8.01452807418054,8.07459548763911,7.9888232596344,8.05595518301343
"HSPA5",9.42418427437164,9.2870509090453,9.55968293543686,9.51055234474072
"NOP58",8.99594790985033,8.61752048440124,8.90747485271701,8.64375228097651
"GDI2",8.20351709120381,8.19035757893409,8.2539599613011,8.25731372571078
"YBX3",8.967771250092,8.65579636972915,8.95368849752942,8.61781981428714
"RPL18",10.9277328985445,10.8790043939012,10.9233042394541,10.9507987152907
"MTHFD2",8.3581216985954,8.18097149651858,8.19990166844605,8.08847247662038
"YBX1",9.63004137578976,9.5408702989773,9.70624837801417,9.65348915119798
"PKM",11.202251949649,11.3580688886296,11.2817521109877,11.3274706153286
"RHOA",8.14401172791169,8.07355667264728,8.11418931125009,8.11751842707551
"NEDD4",8.61664433371501,8.68201618988854,8.43465280286031,8.40977902920337
"ASNS",8.60944799325108,8.42234737787642,8.5693719307485,8.42436365476391
"ENO1",9.12327948756555,8.97940378246528,9.12779722579946,8.90568828753259
"SLC25A3",9.44668574705724,9.39756153370513,9.51218625649728,9.50677213284395
"ACTB",10.8450469133494,10.7204898203431,10.8612509416723,10.6998705388446
"RAB7A",8.76078749228735,8.8383123043932,8.82712147151286,8.96494927365674
