"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO","Mm_WNT"
"TCF7",1.98799275989918,3.12535979306838,2.82152729698973,1.33717046027028,2.3171045892757,2.10937217134287,1.97128040122441,-0.522274521671123,2.24074714919242,0.341141091807991,1.29575056565998,1.56291352078661,1.99105722971077,0.8119400167068,1.03404245865751,4.59616082455795,3.73341795194529,1.37773956174394,0.873848001417004,3.32799169462807
"AMOTL2",5.75527640261565,3.31003262986657,2.29918443617713,6.05877778417035,0.534596419832267,3.40346072889913,2.87086275438842,2.99514688178733,6.62739092604231,4.51532892086533,2.20449460165682,2.04198777347744,3.12561593093156,3.10047072158151,6.20690004458937,4.30781410229196,3.965767259567,5.08148932689385,5.04494532048948,4.70386870445731
"CTGF",5.37716196111792,2.4458816411034,1.36596173059127,5.89575134100268,3.59652505683457,4.53956676941937,2.34564988846034,-2.23733028158321,8.33001653546877,4.25989441408872,3.53198213080828,2.32255217858039,5.26212782465601,1.68496823369435,9.81531917854613,4.27454794832893,3.36421660848636,4.84926648506662,4.45640899334667,4.63776261158146
"HEY2",-0.942676068534912,1.16631533674692,1.56311113301378,0.174906948020861,1.68114073213021,1.26845472931159,1.02669248361029,1.65402496678853,-2.69095276229736,1.78635034347932,1.84814472054516,1.31145804003701,2.17331475963062,2.60668752958632,0.680893451763735,-3.32192809488736,3.24316076812415,1.03078107069021,-2.64505044669664,-2.26618758583532
"CYR61",5.77517075053315,2.25468538266659,-1.31308906332087,8.76294210426092,1.78379533682246,1.22598668414894,-0.00393959754245294,3.13854504128766,9.53246443024121,3.64408262412874,0.360139233384334,-0.125435358370498,-0.554623760376268,-3.32192809488736,7.01226635461926,5.85551408695946,3.95538187992385,5.62697292716355,5.31231592039121,5.44685106622434
"HEY1",1.19108575995142,4.68459854797098,4.81012510283327,-0.403499548627201,2.60631531613329,5.61195757430426,5.43505246008139,4.29535037498828,0.746050779745652,2.70969882548912,4.9338686017246,5.32190543599567,6.35434770575026,6.33618056457514,3.36263611116436,6.00881639630875,3.57524671991359,3.58313353572828,-1.46955138173776,-1.28435535126533
"AXIN2",-1.76959527912498,-1.91627482191101,-2.91530379732738,-0.161045929687995,1.55535913318402,1.52142657230907,1.19200610461788,-2.30133504062463,0.341289230947424,1.41274231785437,2.61986106187976,0.873519442216807,0.58045657564872,1.99162523160666,1.01670554832082,0.0494673237695669,-1.15305837605665,-0.430779009875917,2.22242739556901,4.31901982972273
